이름,최대인원,침실,침대,욕실,가격,detail내용,위도,경도,geometry,지하철까지거리m,지하철역,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,1000버퍼,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑
WECOSTAY Myeongdong B,2,1,1,1.0,93750,,37.563297,126.998434,POINT (955703.8471960555 1951666.896506659),370.0759769565462,을지로4가역,127.67719892052246,퇴계로5가,"POLYGON ((955803.8471960555 1951666.896506659, 955803.3656687227 1951657.094792626, 955801.9257240958 1951647.3874744573, 955799.5412296287 1951637.8680389335, 955796.2351493066 1951628.6281634225, 955792.0393224903 1951619.7568329764, 955786.9941572857 1951611.339483357, 955781.1482413918 1951603.4571782427, 955774.5578741741 1951596.1858285402, 955767.2865244718 1951589.5954613227, 955759.4042193574 1951583.7495454287, 955750.9868697381 1951578.7043802242, 955742.115539292 1951574.5085534079, 955732.875663781 1951571.2024730858, 955723.3562282571 1951568.8179786187, 955713.6489100885 1951567.3780339917, 955703.8471960555 1951566.896506659, 955694.0454820225 1951567.3780339917, 955684.3381638539 1951568.8179786187, 955674.81872833 1951571.2024730858, 955665.5788528189 1951574.5085534079, 955656.7075223728 1951578.7043802242, 955648.2901727535 1951583.7495454287, 955640.4078676391 1951589.5954613227, 955633.1365179368 1951596.1858285402, 955626.5461507192 1951603.4571782427, 955620.7002348253 1951611.339483357, 955615.6550696206 1951619.7568329764, 955611.4592428043 1951628.6281634225, 955608.1531624822 1951637.8680389335, 955605.7686680151 1951647.3874744573, 955604.3287233883 1951657.094792626, 955603.8471960555 1951666.896506659, 955604.3287233883 1951676.6982206919, 955605.7686680151 1951686.4055388607, 955608.1531624822 1951695.9249743845, 955611.4592428043 1951705.1648498955, 955615.6550696206 1951714.0361803416, 955620.7002348253 1951722.453529961, 955626.5461507192 1951730.3358350752, 955633.1365179368 1951737.6071847777, 955640.4078676391 1951744.1975519953, 955648.2901727535 1951750.0434678893, 955656.7075223728 1951755.0886330938, 955665.5788528189 1951759.2844599101, 955674.81872833 1951762.5905402321, 955684.3381638539 1951764.9750346993, 955694.0454820225 1951766.4149793263, 955703.8471960555 1951766.896506659, 955713.6489100885 1951766.4149793263, 955723.3562282571 1951764.9750346993, 955732.875663781 1951762.5905402321, 955742.115539292 1951759.2844599101, 955750.9868697381 1951755.0886330938, 955759.4042193574 1951750.0434678893, 955767.2865244718 1951744.1975519953, 955774.5578741741 1951737.6071847777, 955781.1482413918 1951730.3358350752, 955786.9941572857 1951722.453529961, 955792.0393224903 1951714.0361803416, 955796.2351493066 1951705.1648498955, 955799.5412296287 1951695.9249743845, 955801.9257240958 1951686.4055388607, 955803.3656687227 1951676.6982206919, 955803.8471960555 1951666.896506659))",2,1,0,0
urbanstay : 명동역 5분거리 / 힙지로 #취사가능,2,1,1,1.0,121260,,37.563184,126.99324,POINT (955245.0647596897 1951656.820513813),208.08951311487388,충무로역,21.254978974570697,초동,"POLYGON ((955345.0647596897 1951656.820513813, 955344.5832323569 1951647.0187997802, 955343.14328773 1951637.3114816113, 955340.758793263 1951627.7920460876, 955337.4527129409 1951618.5521705765, 955333.2568861246 1951609.6808401304, 955328.2117209199 1951601.263490511, 955322.365805026 1951593.3811853968, 955315.7754378084 1951586.1098356943, 955308.5040881061 1951579.5194684768, 955300.6217829917 1951573.6735525827, 955292.2044333724 1951568.6283873783, 955283.3331029263 1951564.432560562, 955274.0932274152 1951561.12648024, 955264.5737918913 1951558.7419857727, 955254.8664737227 1951557.3020411457, 955245.0647596897 1951556.820513813, 955235.2630456567 1951557.3020411457, 955225.5557274881 1951558.7419857727, 955216.0362919642 1951561.12648024, 955206.7964164532 1951564.432560562, 955197.9250860071 1951568.6283873783, 955189.5077363878 1951573.6735525827, 955181.6254312734 1951579.5194684768, 955174.3540815711 1951586.1098356943, 955167.7637143534 1951593.3811853968, 955161.9177984595 1951601.263490511, 955156.8726332549 1951609.6808401304, 955152.6768064386 1951618.5521705765, 955149.3707261165 1951627.7920460876, 955146.9862316494 1951637.3114816113, 955145.5462870225 1951647.0187997802, 955145.0647596897 1951656.820513813, 955145.5462870225 1951666.622227846, 955146.9862316494 1951676.3295460148, 955149.3707261165 1951685.8489815386, 955152.6768064386 1951695.0888570496, 955156.8726332549 1951703.9601874957, 955161.9177984595 1951712.377537115, 955167.7637143534 1951720.2598422293, 955174.3540815711 1951727.5311919318, 955181.6254312734 1951734.1215591494, 955189.5077363878 1951739.9674750434, 955197.9250860071 1951745.0126402478, 955206.7964164532 1951749.2084670642, 955216.0362919642 1951752.5145473862, 955225.5557274881 1951754.8990418534, 955235.2630456567 1951756.3389864804, 955245.0647596897 1951756.820513813, 955254.8664737227 1951756.3389864804, 955264.5737918913 1951754.8990418534, 955274.0932274152 1951752.5145473862, 955283.3331029263 1951749.2084670642, 955292.2044333724 1951745.0126402478, 955300.6217829917 1951739.9674750434, 955308.5040881061 1951734.1215591494, 955315.7754378084 1951727.5311919318, 955322.365805026 1951720.2598422293, 955328.2117209199 1951712.377537115, 955333.2568861246 1951703.9601874957, 955337.4527129409 1951695.0888570496, 955340.758793263 1951685.8489815386, 955343.14328773 1951676.3295460148, 955344.5832323569 1951666.622227846, 955345.0647596897 1951656.820513813))",0,0,0,0
"[쉼,]고층 편안한 숙소",2,1,1,1.0,95437,,37.564704,126.993192,POINT (955241.7349844276 1951825.4797301996),221.54588408672916,을지로3가역,150.87699517924045,초동,"POLYGON ((955341.7349844276 1951825.4797301996, 955341.2534570948 1951815.6780161667, 955339.8135124679 1951805.9706979978, 955337.4290180008 1951796.451262474, 955334.1229376787 1951787.211386963, 955329.9271108625 1951778.340056517, 955324.8819456578 1951769.9227068976, 955319.0360297639 1951762.0404017833, 955312.4456625462 1951754.7690520808, 955305.1743128439 1951748.1786848633, 955297.2920077295 1951742.3327689692, 955288.8746581102 1951737.2876037648, 955280.0033276641 1951733.0917769484, 955270.7634521531 1951729.7856966264, 955261.2440166292 1951727.4012021592, 955251.5366984606 1951725.9612575322, 955241.7349844276 1951725.4797301996, 955231.9332703946 1951725.9612575322, 955222.225952226 1951727.4012021592, 955212.7065167021 1951729.7856966264, 955203.466641191 1951733.0917769484, 955194.595310745 1951737.2876037648, 955186.1779611256 1951742.3327689692, 955178.2956560112 1951748.1786848633, 955171.024306309 1951754.7690520808, 955164.4339390913 1951762.0404017833, 955158.5880231974 1951769.9227068976, 955153.5428579927 1951778.340056517, 955149.3470311764 1951787.211386963, 955146.0409508543 1951796.451262474, 955143.6564563873 1951805.9706979978, 955142.2165117604 1951815.6780161667, 955141.7349844276 1951825.4797301996, 955142.2165117604 1951835.2814442324, 955143.6564563873 1951844.9887624013, 955146.0409508543 1951854.508197925, 955149.3470311764 1951863.748073436, 955153.5428579927 1951872.6194038822, 955158.5880231974 1951881.0367535015, 955164.4339390913 1951888.9190586158, 955171.024306309 1951896.1904083183, 955178.2956560112 1951902.7807755359, 955186.1779611256 1951908.6266914299, 955194.595310745 1951913.6718566343, 955203.466641191 1951917.8676834507, 955212.7065167021 1951921.1737637727, 955222.225952226 1951923.5582582399, 955231.9332703946 1951924.9982028669, 955241.7349844276 1951925.4797301996, 955251.5366984606 1951924.9982028669, 955261.2440166292 1951923.5582582399, 955270.7634521531 1951921.1737637727, 955280.0033276641 1951917.8676834507, 955288.8746581102 1951913.6718566343, 955297.2920077295 1951908.6266914299, 955305.1743128439 1951902.7807755359, 955312.4456625462 1951896.1904083183, 955319.0360297639 1951888.9190586158, 955324.8819456578 1951881.0367535015, 955329.9271108625 1951872.6194038822, 955334.1229376787 1951863.748073436, 955337.4290180008 1951854.508197925, 955339.8135124679 1951844.9887624013, 955341.2534570948 1951835.2814442324, 955341.7349844276 1951825.4797301996))",0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체1,2,1,1,1.0,121260,,37.564046,126.992536,POINT (955183.4063838253 1951752.7905649876),261.5816681839944,을지로3가역,92.86094231708623,초동,"POLYGON ((955283.4063838253 1951752.7905649876, 955282.9248564926 1951742.9888509547, 955281.4849118657 1951733.2815327859, 955279.1004173986 1951723.762097262, 955275.7943370765 1951714.522221751, 955271.5985102602 1951705.650891305, 955266.5533450556 1951697.2335416856, 955260.7074291616 1951689.3512365713, 955254.117061944 1951682.0798868688, 955246.8457122417 1951675.4895196513, 955238.9634071273 1951669.6436037573, 955230.546057508 1951664.5984385528, 955221.6747270619 1951660.4026117364, 955212.4348515508 1951657.0965314144, 955202.915416027 1951654.7120369473, 955193.2080978584 1951653.2720923203, 955183.4063838253 1951652.7905649876, 955173.6046697923 1951653.2720923203, 955163.8973516237 1951654.7120369473, 955154.3779160999 1951657.0965314144, 955145.1380405888 1951660.4026117364, 955136.2667101427 1951664.5984385528, 955127.8493605234 1951669.6436037573, 955119.967055409 1951675.4895196513, 955112.6957057067 1951682.0798868688, 955106.105338489 1951689.3512365713, 955100.2594225951 1951697.2335416856, 955095.2142573905 1951705.650891305, 955091.0184305742 1951714.522221751, 955087.7123502521 1951723.762097262, 955085.327855785 1951733.2815327859, 955083.8879111581 1951742.9888509547, 955083.4063838253 1951752.7905649876, 955083.8879111581 1951762.5922790205, 955085.327855785 1951772.2995971893, 955087.7123502521 1951781.819032713, 955091.0184305742 1951791.058908224, 955095.2142573905 1951799.9302386702, 955100.2594225951 1951808.3475882895, 955106.105338489 1951816.2298934038, 955112.6957057067 1951823.5012431063, 955119.967055409 1951830.0916103239, 955127.8493605234 1951835.937526218, 955136.2667101427 1951840.9826914223, 955145.1380405888 1951845.1785182387, 955154.3779160999 1951848.4845985607, 955163.8973516237 1951850.869093028, 955173.6046697923 1951852.309037655, 955183.4063838253 1951852.7905649876, 955193.2080978584 1951852.309037655, 955202.915416027 1951850.869093028, 955212.4348515508 1951848.4845985607, 955221.6747270619 1951845.1785182387, 955230.546057508 1951840.9826914223, 955238.9634071273 1951835.937526218, 955246.8457122417 1951830.0916103239, 955254.117061944 1951823.5012431063, 955260.7074291616 1951816.2298934038, 955266.5533450556 1951808.3475882895, 955271.5985102602 1951799.9302386702, 955275.7943370765 1951791.058908224, 955279.1004173986 1951781.819032713, 955281.4849118657 1951772.2995971893, 955282.9248564926 1951762.5922790205, 955283.4063838253 1951752.7905649876))",1,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체2,2,1,1,1.0,121260,,37.564326,126.992977,POINT (955222.5210803228 1951783.6449456357),247.18707550383516,을지로3가역,109.40848182632867,초동,"POLYGON ((955322.5210803228 1951783.6449456357, 955322.03955299 1951773.8432316028, 955320.5996083631 1951764.135913434, 955318.2151138961 1951754.6164779102, 955314.9090335739 1951745.3766023992, 955310.7132067577 1951736.505271953, 955305.668041553 1951728.0879223337, 955299.8221256591 1951720.2056172194, 955293.2317584414 1951712.934267517, 955285.9604087392 1951706.3439002994, 955278.0781036247 1951700.4979844054, 955269.6607540054 1951695.452819201, 955260.7894235593 1951691.2569923846, 955251.5495480483 1951687.9509120625, 955242.0301125244 1951685.5664175954, 955232.3227943558 1951684.1264729684, 955222.5210803228 1951683.6449456357, 955212.7193662898 1951684.1264729684, 955203.0120481212 1951685.5664175954, 955193.4926125973 1951687.9509120625, 955184.2527370863 1951691.2569923846, 955175.3814066402 1951695.452819201, 955166.9640570208 1951700.4979844054, 955159.0817519064 1951706.3439002994, 955151.8104022042 1951712.934267517, 955145.2200349865 1951720.2056172194, 955139.3741190926 1951728.0879223337, 955134.3289538879 1951736.505271953, 955130.1331270717 1951745.3766023992, 955126.8270467495 1951754.6164779102, 955124.4425522825 1951764.135913434, 955123.0026076556 1951773.8432316028, 955122.5210803228 1951783.6449456357, 955123.0026076556 1951793.4466596686, 955124.4425522825 1951803.1539778374, 955126.8270467495 1951812.6734133612, 955130.1331270717 1951821.9132888722, 955134.3289538879 1951830.7846193183, 955139.3741190926 1951839.2019689376, 955145.2200349865 1951847.084274052, 955151.8104022042 1951854.3556237544, 955159.0817519064 1951860.945990972, 955166.9640570208 1951866.791906866, 955175.3814066402 1951871.8370720705, 955184.2527370863 1951876.0328988868, 955193.4926125973 1951879.3389792088, 955203.0120481212 1951881.723473676, 955212.7193662898 1951883.163418303, 955222.5210803228 1951883.6449456357, 955232.3227943558 1951883.163418303, 955242.0301125244 1951881.723473676, 955251.5495480483 1951879.3389792088, 955260.7894235593 1951876.0328988868, 955269.6607540054 1951871.8370720705, 955278.0781036247 1951866.791906866, 955285.9604087392 1951860.945990972, 955293.2317584414 1951854.3556237544, 955299.8221256591 1951847.084274052, 955305.668041553 1951839.2019689376, 955310.7132067577 1951830.7846193183, 955314.9090335739 1951821.9132888722, 955318.2151138961 1951812.6734133612, 955320.5996083631 1951803.1539778374, 955322.03955299 1951793.4466596686, 955322.5210803228 1951783.6449456357))",0,0,0,0
Kay 님이 호스팅하는 레지던스 전체,2,1,1,1.0,96509,,37.565788,126.992372,POINT (955169.9666001796 1951946.1349647716),82.89842044405678,을지로3가역,82.99888116883464,을지로3가,"POLYGON ((955269.9666001796 1951946.1349647716, 955269.4850728468 1951936.3332507387, 955268.0451282199 1951926.6259325698, 955265.6606337528 1951917.106497046, 955262.3545534307 1951907.866621535, 955258.1587266144 1951898.995291089, 955253.1135614098 1951890.5779414696, 955247.2676455159 1951882.6956363553, 955240.6772782982 1951875.4242866528, 955233.4059285959 1951868.8339194353, 955225.5236234815 1951862.9880035412, 955217.1062738622 1951857.9428383368, 955208.2349434161 1951853.7470115204, 955198.995067905 1951850.4409311984, 955189.4756323812 1951848.0564367312, 955179.7683142126 1951846.6164921043, 955169.9666001796 1951846.1349647716, 955160.1648861466 1951846.6164921043, 955150.457567978 1951848.0564367312, 955140.9381324541 1951850.4409311984, 955131.698256943 1951853.7470115204, 955122.8269264969 1951857.9428383368, 955114.4095768776 1951862.9880035412, 955106.5272717632 1951868.8339194353, 955099.2559220609 1951875.4242866528, 955092.6655548433 1951882.6956363553, 955086.8196389494 1951890.5779414696, 955081.7744737447 1951898.995291089, 955077.5786469284 1951907.866621535, 955074.2725666063 1951917.106497046, 955071.8880721392 1951926.6259325698, 955070.4481275124 1951936.3332507387, 955069.9666001796 1951946.1349647716, 955070.4481275124 1951955.9366788045, 955071.8880721392 1951965.6439969733, 955074.2725666063 1951975.163432497, 955077.5786469284 1951984.403308008, 955081.7744737447 1951993.2746384542, 955086.8196389494 1952001.6919880735, 955092.6655548433 1952009.5742931878, 955099.2559220609 1952016.8456428903, 955106.5272717632 1952023.4360101079, 955114.4095768776 1952029.281926002, 955122.8269264969 1952034.3270912063, 955131.698256943 1952038.5229180227, 955140.9381324541 1952041.8289983447, 955150.457567978 1952044.213492812, 955160.1648861466 1952045.653437439, 955169.9666001796 1952046.1349647716, 955179.7683142126 1952045.653437439, 955189.4756323812 1952044.213492812, 955198.995067905 1952041.8289983447, 955208.2349434161 1952038.5229180227, 955217.1062738622 1952034.3270912063, 955225.5236234815 1952029.281926002, 955233.4059285959 1952023.4360101079, 955240.6772782982 1952016.8456428903, 955247.2676455159 1952009.5742931878, 955253.1135614098 1952001.6919880735, 955258.1587266144 1951993.2746384542, 955262.3545534307 1951984.403308008, 955265.6606337528 1951975.163432497, 955268.0451282199 1951965.6439969733, 955269.4850728468 1951955.9366788045, 955269.9666001796 1951946.1349647716))",2,0,1,0
서울의 중심 풀옵션 레지던스 #19,2,1,1,1.0,98823,,37.562303,126.992597,POINT (955187.7495842444 1951559.3844118158),162.3929121226437,충무로역,97.55297747241273,충무로역.매일경제,"POLYGON ((955287.7495842444 1951559.3844118158, 955287.2680569116 1951549.582697783, 955285.8281122848 1951539.875379614, 955283.4436178177 1951530.3559440903, 955280.1375374956 1951521.1160685793, 955275.9417106793 1951512.2447381332, 955270.8965454747 1951503.8273885138, 955265.0506295807 1951495.9450833995, 955258.4602623631 1951488.673733697, 955251.1889126608 1951482.0833664795, 955243.3066075464 1951476.2374505855, 955234.8892579271 1951471.192285381, 955226.017927481 1951466.9964585647, 955216.77805197 1951463.6903782426, 955207.258616446 1951461.3058837755, 955197.5512982775 1951459.8659391485, 955187.7495842444 1951459.3844118158, 955177.9478702114 1951459.8659391485, 955168.2405520428 1951461.3058837755, 955158.721116519 1951463.6903782426, 955149.4812410079 1951466.9964585647, 955140.6099105618 1951471.192285381, 955132.1925609425 1951476.2374505855, 955124.3102558281 1951482.0833664795, 955117.0389061258 1951488.673733697, 955110.4485389082 1951495.9450833995, 955104.6026230142 1951503.8273885138, 955099.5574578096 1951512.2447381332, 955095.3616309933 1951521.1160685793, 955092.0555506712 1951530.3559440903, 955089.6710562041 1951539.875379614, 955088.2311115772 1951549.582697783, 955087.7495842444 1951559.3844118158, 955088.2311115772 1951569.1861258487, 955089.6710562041 1951578.8934440175, 955092.0555506712 1951588.4128795413, 955095.3616309933 1951597.6527550523, 955099.5574578096 1951606.5240854984, 955104.6026230142 1951614.9414351177, 955110.4485389082 1951622.823740232, 955117.0389061258 1951630.0950899345, 955124.3102558281 1951636.685457152, 955132.1925609425 1951642.531373046, 955140.6099105618 1951647.5765382505, 955149.4812410079 1951651.772365067, 955158.721116519 1951655.078445389, 955168.2405520428 1951657.462939856, 955177.9478702114 1951658.902884483, 955187.7495842444 1951659.3844118158, 955197.5512982775 1951658.902884483, 955207.258616446 1951657.462939856, 955216.77805197 1951655.078445389, 955226.017927481 1951651.772365067, 955234.8892579271 1951647.5765382505, 955243.3066075464 1951642.531373046, 955251.1889126608 1951636.685457152, 955258.4602623631 1951630.0950899345, 955265.0506295807 1951622.823740232, 955270.8965454747 1951614.9414351177, 955275.9417106793 1951606.5240854984, 955280.1375374956 1951597.6527550523, 955283.4436178177 1951588.4128795413, 955285.8281122848 1951578.8934440175, 955287.2680569116 1951569.1861258487, 955287.7495842444 1951559.3844118158))",1,0,0,0
"명동뷰, 넷플릭스 복층 3인, 남산케이블카 3분거리, 루프탑 바베큐, 2021년 리모델링",3,1,2,1.0,113922,,37.556446,126.985766,POINT (954580.8975835331 1950912.8590714952),506.63243517083623,명동역,241.35283637026427,남산케이블카,"POLYGON ((954680.8975835331 1950912.8590714952, 954680.4160562003 1950903.0573574624, 954678.9761115734 1950893.3500392935, 954676.5916171063 1950883.8306037697, 954673.2855367842 1950874.5907282587, 954669.089709968 1950865.7193978126, 954664.0445447633 1950857.3020481933, 954658.1986288694 1950849.419743079, 954651.6082616517 1950842.1483933765, 954644.3369119494 1950835.558026159, 954636.454606835 1950829.712110265, 954628.0372572157 1950824.6669450605, 954619.1659267696 1950820.471118244, 954609.9260512586 1950817.165037922, 954600.4066157347 1950814.780543455, 954590.6992975661 1950813.340598828, 954580.8975835331 1950812.8590714952, 954571.0958695001 1950813.340598828, 954561.3885513315 1950814.780543455, 954551.8691158076 1950817.165037922, 954542.6292402965 1950820.471118244, 954533.7579098505 1950824.6669450605, 954525.3405602311 1950829.712110265, 954517.4582551167 1950835.558026159, 954510.1869054144 1950842.1483933765, 954503.5965381968 1950849.419743079, 954497.7506223029 1950857.3020481933, 954492.7054570982 1950865.7193978126, 954488.509630282 1950874.5907282587, 954485.2035499598 1950883.8306037697, 954482.8190554928 1950893.3500392935, 954481.3791108659 1950903.0573574624, 954480.8975835331 1950912.8590714952, 954481.3791108659 1950922.6607855281, 954482.8190554928 1950932.368103697, 954485.2035499598 1950941.8875392207, 954488.509630282 1950951.1274147318, 954492.7054570982 1950959.9987451779, 954497.7506223029 1950968.4160947972, 954503.5965381968 1950976.2983999115, 954510.1869054144 1950983.569749614, 954517.4582551167 1950990.1601168315, 954525.3405602311 1950996.0060327256, 954533.7579098505 1951001.05119793, 954542.6292402965 1951005.2470247464, 954551.8691158076 1951008.5531050684, 954561.3885513315 1951010.9375995356, 954571.0958695001 1951012.3775441626, 954580.8975835331 1951012.8590714952, 954590.6992975661 1951012.3775441626, 954600.4066157347 1951010.9375995356, 954609.9260512586 1951008.5531050684, 954619.1659267696 1951005.2470247464, 954628.0372572157 1951001.05119793, 954636.454606835 1950996.0060327256, 954644.3369119494 1950990.1601168315, 954651.6082616517 1950983.569749614, 954658.1986288694 1950976.2983999115, 954664.0445447633 1950968.4160947972, 954669.089709968 1950959.9987451779, 954673.2855367842 1950951.1274147318, 954676.5916171063 1950941.8875392207, 954678.9761115734 1950932.368103697, 954680.4160562003 1950922.6607855281, 954680.8975835331 1950912.8590714952))",1,0,0,0
N.Designer's home/Whole house/3min_Seoul station31,2,1,2,1.0,25999,,37.562328,126.977996,POINT (953898.2410846492 1951569.2201969773),267.80146968691486,시청역,115.67678979334357,숭례문앞,"POLYGON ((953998.2410846492 1951569.2201969773, 953997.7595573164 1951559.4184829444, 953996.3196126895 1951549.7111647755, 953993.9351182225 1951540.1917292518, 953990.6290379004 1951530.9518537407, 953986.4332110841 1951522.0805232946, 953981.3880458794 1951513.6631736753, 953975.5421299855 1951505.780868561, 953968.9517627679 1951498.5095188585, 953961.6804130656 1951491.919151641, 953953.7981079512 1951486.073235747, 953945.3807583319 1951481.0280705425, 953936.5094278858 1951476.8322437261, 953927.2695523747 1951473.526163404, 953917.7501168508 1951471.141668937, 953908.0427986822 1951469.70172431, 953898.2410846492 1951469.2201969773, 953888.4393706162 1951469.70172431, 953878.7320524476 1951471.141668937, 953869.2126169237 1951473.526163404, 953859.9727414127 1951476.8322437261, 953851.1014109666 1951481.0280705425, 953842.6840613473 1951486.073235747, 953834.8017562329 1951491.919151641, 953827.5304065306 1951498.5095188585, 953820.9400393129 1951505.780868561, 953815.094123419 1951513.6631736753, 953810.0489582143 1951522.0805232946, 953805.8531313981 1951530.9518537407, 953802.547051076 1951540.1917292518, 953800.1625566089 1951549.7111647755, 953798.722611982 1951559.4184829444, 953798.2410846492 1951569.2201969773, 953798.722611982 1951579.0219110101, 953800.1625566089 1951588.729229179, 953802.547051076 1951598.2486647028, 953805.8531313981 1951607.4885402138, 953810.0489582143 1951616.35987066, 953815.094123419 1951624.7772202792, 953820.9400393129 1951632.6595253935, 953827.5304065306 1951639.930875096, 953834.8017562329 1951646.5212423136, 953842.6840613473 1951652.3671582076, 953851.1014109666 1951657.412323412, 953859.9727414127 1951661.6081502284, 953869.2126169237 1951664.9142305504, 953878.7320524476 1951667.2987250176, 953888.4393706162 1951668.7386696446, 953898.2410846492 1951669.2201969773, 953908.0427986822 1951668.7386696446, 953917.7501168508 1951667.2987250176, 953927.2695523747 1951664.9142305504, 953936.5094278858 1951661.6081502284, 953945.3807583319 1951657.412323412, 953953.7981079512 1951652.3671582076, 953961.6804130656 1951646.5212423136, 953968.9517627679 1951639.930875096, 953975.5421299855 1951632.6595253935, 953981.3880458794 1951624.7772202792, 953986.4332110841 1951616.35987066, 953990.6290379004 1951607.4885402138, 953993.9351182225 1951598.2486647028, 953996.3196126895 1951588.729229179, 953997.7595573164 1951579.0219110101, 953998.2410846492 1951569.2201969773))",5,0,0,0
urbanstay : 서울살이 로망을 실현해보세요 #취사가능 #long-termSTAY,2,1,1,1.0,121260,,37.563177,126.993249,POINT (955245.8554200829 1951656.0396132146),207.08232184547572,충무로역,22.337504857365804,초동,"POLYGON ((955345.8554200829 1951656.0396132146, 955345.3738927501 1951646.2378991817, 955343.9339481232 1951636.5305810128, 955341.5494536562 1951627.011145489, 955338.2433733341 1951617.771269978, 955334.0475465178 1951608.899939532, 955329.0023813131 1951600.4825899126, 955323.1564654192 1951592.6002847983, 955316.5660982016 1951585.3289350958, 955309.2947484993 1951578.7385678783, 955301.4124433849 1951572.8926519842, 955292.9950937656 1951567.8474867798, 955284.1237633195 1951563.6516599634, 955274.8838878084 1951560.3455796414, 955265.3644522845 1951557.9610851742, 955255.6571341159 1951556.5211405472, 955245.8554200829 1951556.0396132146, 955236.0537060499 1951556.5211405472, 955226.3463878813 1951557.9610851742, 955216.8269523574 1951560.3455796414, 955207.5870768464 1951563.6516599634, 955198.7157464003 1951567.8474867798, 955190.298396781 1951572.8926519842, 955182.4160916666 1951578.7385678783, 955175.1447419643 1951585.3289350958, 955168.5543747466 1951592.6002847983, 955162.7084588527 1951600.4825899126, 955157.663293648 1951608.899939532, 955153.4674668318 1951617.771269978, 955150.1613865097 1951627.011145489, 955147.7768920426 1951636.5305810128, 955146.3369474157 1951646.2378991817, 955145.8554200829 1951656.0396132146, 955146.3369474157 1951665.8413272474, 955147.7768920426 1951675.5486454163, 955150.1613865097 1951685.06808094, 955153.4674668318 1951694.307956451, 955157.663293648 1951703.1792868972, 955162.7084588527 1951711.5966365165, 955168.5543747466 1951719.4789416308, 955175.1447419643 1951726.7502913333, 955182.4160916666 1951733.3406585508, 955190.298396781 1951739.1865744449, 955198.7157464003 1951744.2317396493, 955207.5870768464 1951748.4275664657, 955216.8269523574 1951751.7336467877, 955226.3463878813 1951754.1181412549, 955236.0537060499 1951755.5580858819, 955245.8554200829 1951756.0396132146, 955255.6571341159 1951755.5580858819, 955265.3644522845 1951754.1181412549, 955274.8838878084 1951751.7336467877, 955284.1237633195 1951748.4275664657, 955292.9950937656 1951744.2317396493, 955301.4124433849 1951739.1865744449, 955309.2947484993 1951733.3406585508, 955316.5660982016 1951726.7502913333, 955323.1564654192 1951719.4789416308, 955329.0023813131 1951711.5966365165, 955334.0475465178 1951703.1792868972, 955338.2433733341 1951694.307956451, 955341.5494536562 1951685.06808094, 955343.9339481232 1951675.5486454163, 955345.3738927501 1951665.8413272474, 955345.8554200829 1951656.0396132146))",0,0,0,0
